text,binary_label,platform,audit_source,is_abusive,note
Turn to CNN right NOW! This is so awesome! I’m glad that God wrapped my assignment in the earth I’m Black skin. I AM a proud Black Christian Woman!!! #blacklivesmatter,1,twitter,English_CB,n,
"But that ""Nigger"" your president tho &amp; if you was smart you would know that Obama is fully black RT @tayyoung_: FUCK OBAMA, dumb ass nigger",1,twitter,English_CB,y,
"This is childish like a school bully. Stand taller. Set an example. This is why children behave so poorly. This is what they have to look up to. I mean no disrespect, just want people to be better.",1,twitter,English_CB,n,
If I was still in school I would have loved online learning. I was teased and it made it hard to learn. With no bullies around you learning would come easy! Focusing on education rather than peers,1,twitter,English_CB,n,
"I've gone through your Twitter and you're nothing more than an angry High School bully with too much power. The protestors are using their 1st amendment rights, being silenced, attacked with weapons that are a war crime, and Ted Wheeler just saw who is truly escalating things.",1,twitter,English_CB,n,
"“@DRES_AURA Racism aint going nowhere RT @tayyoung_: FUCK OBAMA, dumb ass nigger” lol SO upset",1,twitter,English_CB,y,
Dude has been making shitty gay jokes all night and just played a song about prison rape jfc,1,twitter,English_CB,y,
@mykitchenrules The Sassy Foods feeling #MKR2015 #MKR these girls are vile people #KillerBlondes #basichotdog #nobun,1,twitter,English_CB,y,
But u never condem Islamic Terrorism,1,twitter,English_CB,n,
"elle, my high school bully &lt;/33",1,twitter,English_CB,y,
Girl’s bully hell An Elsies River High School teen tried to kill herself by taking an undisclosed amount of tablets last Monday “to escape the pain” of being bullied. Story by: @Venecia_Vee,1,twitter,English_CB,n,
Ewww get the fuck out!! “@SageForevaMaccn: “@0enlighteneonne: @SageForevaMaccn @twiGGy_sb nigger” I half cracker too! Dumb ass! Ahah”,1,twitter,English_CB,y,
"Since Jun, Hong Kong Police terrorists brutalize protesters in many ways, e.g. torture, headshot, rape, gay rape, kidnap, frisk and kill. #policeterrorism indeed never ceased becoz of the #CoronavirusPandemic . Now, it's a #PoliceState . A city of rule of law? Sorry, it's a joke",1,twitter,English_CB,y,
"It was a splendid read Sandeep Ji. Great research. As you referred to Ghengis Kahn, I read John Man’s two books One on Ghengis himself and other Kublai Kahn. His tirade against Muslims happened because he was provoked by an idiot called Mohammed of Kwarzem. Great read.",1,twitter,English_CB,y,
"(TW) They think it's unwarranted bc queer people are not disadvantaged enough to need it & because any faker can claim to be gay to get accepted &amp; they started to mock gay people by making wrist gestured &amp; a joke about ""proving gayness"" that sounded almost like rape",1,twitter,English_CB,y,
No. You are talking like Modi. Forcibly converting historic worshiping places of other religions(Babri Masjid) into your's. I guess Israel is now also free to carry out the conversion of muslim 'alBeit alMuqaddas' into jewish 'haBeit haMikdash' temple. Medieval idiot.,1,twitter,English_CB,y,
@kimpalencia Can you explain what that 77 refers to?,1,twitter,English_CB,n,
"“Call me school bully, you miserable little tick.” ^Simon",1,twitter,English_CB,y,
5/14/15,1,twitter,English_CB,n,just numbers
Mahesh Chauhan your spokesperson is debating like idiot. Sharad Pawar has antagonized Hindus today by mocking Ram Mandir. Do you have the guts to speak like that on Muslims? Dirty pigs.,1,twitter,English_CB,y,
You mad?? @Snap4TheKidd: ''@Daa_Untouchable wow fuck you dumb pussy nigger'',1,twitter,English_CB,y,
I think the whole country hates #Kat right now #mkr,1,twitter,English_CB,n,
"LOOK WHO'S TALKING THERE, SAYING ""GAY"" AND MAKING ""RAPE"" JOKES. SO IMMATURE",1,twitter,English_CB,y,
Oh my god yes. Fuck photoshop always hated it!!,1,twitter,English_CB,y,
RT @DorvalTony: @baykara7 Religion my ass. Death cult.,1,twitter,English_CB,y,
Mam check out the UN list of terrorist u will find some name from your community. Whole world is suffering from radical islamic terrorism. But u will not teach humanity to your people. Only blame others. First fix yourself than teach to other.,1,twitter,English_CB,y,
"Which is why he was fired by Obama. He is an unbalanced religious zealot, willing to betray the U.S. in order to fight Islamic terrorism.",1,twitter,English_CB,y,
"I didn’t go to high school with y’all so I can’t speak on ur drama from then, but it honestly just looks like u trying to bully one of the most positive people I’ve ever met over shit that happened so long ago? Just keep it to urself cuz u look foolish",1,twitter,English_CB,n,
"When I got to school, I asked the school bully what it meant because I figured a bully would know the meanings of dirty words. He thought he knew what it meant, but later, I learned he was wrong. Sex ed on the street is unreliable. I have stories.",1,twitter,English_CB,n,
"pretentious sexist ""ew girls are gross bc I'm gay"" FA writer who got off on rape scenes bc ""it's my ART""",1,twitter,English_CB,y,
u r fat,1,twitter,English_CB,y,
"@TeeYouVee sweet. no one has used this yet, and there appears to be somewhat of a delay. watching to see when it goes through.",1,twitter,English_CB,n,
"Seeing a lot of streamers slating other streamers lately, seriously? You're acting like fucking school kids. Let other streamers act how they want to act and learn on their own without you using your social media to just beg for likes and bully other channels.",1,twitter,English_CB,y,
Put a finger down if u were getting bullied through junior high so badly that ur mom eventually got fed up with it and tracked down the IP address of who was sending you anonymous hate mail and it turned out to be the MOTHER of one of the girls on your cheer team the whole time,1,twitter,English_CB,n,
"RT @PhxKen: SIR WINSTON CHURCHHILL: ""ISLAM IS A DANGEROUS IN A MAN AS RABIES IN A DOG""",1,twitter,English_CB,y,
ANTISEMITE ALERT Numbers are IRRELEVANT unless an idiot! Ethnic cleansing &amp; murders of Jews doesn’t negate Jews as INDIGENOUS to JUDEA! Next you will claim Spanish are colonialists for throwing out Muslims in 1492! This is your ridiculous argument!,1,twitter,English_CB,y,
Thank you so much Debi. In high school I was brutally bullied by 2 girls. It left invisible scars. Everyone must get better at celebrating others. One of the bullies apologized to me ten years ago for her cruelty. I forgave her but hard to forget what she did. #StarfishClub,1,twitter,English_CB,n,
I hope all the bitches who bullied girls in high school by exposin they nudes get the rona.,1,twitter,English_CB,y,
@ClashRoyale great job for ruining clash royale :) wiz and valk are way op and if a deck has both it’s op and you can’t beat them unless your deck has them to or you’ll lose. Don’t fix shit that doesn’t need fixed you dumb fucks your mentally challenged fucking niggers,1,twitter,English_CB,y,
"We ourselves need to address this every time we observe this hypocrisy around us. Assuming a Muslim American supports radical factions, is the same as assuming Christian Americans support radical factions who abuse the use of free speech and attack minorities in our own country.",1,twitter,English_CB,y,
"If you were a serial killer who already has their list of targets, wouldn't you kill random people every so often just to ""break the pattern"" Example. If you targeted your highschool bullies, the police could identify ""Oh these people went to the same high school same year""",1,twitter,English_CB,y,
"we used to call them bitches, female was a big step sir calm down",1,twitter,English_CB,y,
@JRizzlyKidd: N is for niggers bitch fuck the world!lmfao oh my fucking god dude you fucking dumb as bitch,1,twitter,English_CB,y,
"I have very little respect for people who make gay jokes, say retarded, or make jokes about rape. #GrowUp",1,twitter,English_CB,n,
".@wadhwa keeps claiming he's not profiting. look, dude. we both know how the speaker circuit works. it's about rep. you profit indirectly.",1,twitter,English_CB,n,
