author,categoria,ciberacoso,texto,Unnamed: 4
"sebastian2215
",2,1.0,Siempre tienes hambre gorda sapa hijueputa,
AndresFKhalifa,0,0.0,Sapa hijueputa borrachiza me metí ayer. Cuánto la necesitaba.,
BBTagGa,1,1.0,Te voy a matar,
"_enfermaMental
",0,0.0,Me duelen las nalgas de la pedaleada TAN SAPA HIJUEPUTA que me pegué ayer.,
larylvsyoon,1,1.0,Y yo te voy a matar a golpes,
"Lago_js
",0,0.0,"Voy a empezar 2018 endeudado pero que hijueputa hoy se acaba el año y el cielo puede esperar, sapa hijueputa",
PilarSoyYo30,3,1.0,Muerase usted sola habemos personas que vivimos muy bueno y somos felices .,
Alvar0moren0,0,0.0,"Que traga tan sapa hijueputa, jajaja lo peor es que no la voy a volver a ver😔.",
darlizacastro,2,1.0,Ese insecto lo odio,
FotografoAnder,0,0.0,"Justo anoche lo estaba viendo, me llamo mucha la atencion como movia las pinzas que tiene a los lados como si fueran dos manos, es un insecto impresionante!!!",
LuzDaryGmezOso1,2,1.0,Más Mamerto sos vos baboso insecto que todo lo que hablas son estupideces y lo que te dicen que digas bobo HP,
Gerardo35069339,0,0.0,Un insecto se llama bicho.. encontré mi muñeca para saludar bicho y tomar fotos.   Gracias,
francis78283316,2,1.0,"la leche con la que cuajaron a este insecto, no tenías proteínas, será que hubo algún incesto??",
ADRIAN_BARON_81,0,0.0,¿Alguien sabe qué insecto es este?,
JhoseM18,2,1.0,"te puedes meter la opinión y el dedo, no, mejor la mano completa por el orto con dirección a tu cerebro. 😘
Con cariño y las mejores intenciones.
Jajajajajajaja insignificante insecto.",
kukiafong,0,0.0,"Hola, por favor me ayudas. Tenemos una plaga de este insecto en casa y no sabemos qué  es ni cómo combatirla.
Vivo en colombia, Cali, Valle del Cauca, zona del Pacífico colombiano.",
Fegdinand,2,1.0,Insecto,
DiosaLuna_00,0,0.0,Ya me sigues pequeño insecto 🦟,
ancam27,2,1.0,Que clase de insecto eres,
minacams,0,0.0,Uno se hace el bobo y yo que me entero de todo.,
ancam27,2,1.0,Hasta mi abuela en estado vegetal juega mejor que vos,
"miltontrujillo
",0,0.0,Lo que cuenta mancuso no es por cuestiones de falta de pauta… no se haga el bobo.,
"cristyan_lop
",2,1.0,Ya cállese bobo…deje de hablar estúpideces,
"tatiana_m18
",0,0.0,Yo bien complicada y en serio me termina gustando ese pedazo de bobo uy no,
jhon45318372,2,1.0,Jajajaja Bobo hijueputa,
j28_alejo,0,0.0,"No hay pregunta boba, es bobo el que no pregunta.",
NFGutii,2,1.0,Vaya que. Le den pene... Bobo hp,
ale_dante1,0,0.0,No es bobo✨aferrándote a algo que en el momento te da felicidad por querer estar ahí ✨analiza seras feliz con su forma de tratarte su manera de vivir  no ruegues es un casi algo no lo conoces bien mejor persona vendrá amor propio si no te amas a ti como vas a decir amar a otro,
caliconosetoca,2,1.0,"Malparido bobo, se nota que sos bien acosador",
SaraVillota5,0,0.0,"Ay no mor, usted tan grande y tan bobo, da 3 pesares",
jucala1963,2,1.0,Pobre bobo hijueputa....no sabe que escribir esta gonorrea drogadicto malparido,
Iamalexbet,0,0.0,Si saben qué tal bajada no es más que una guerra de marketing en la que quedo en medio un bobo útil no? 🫨,
aceroymurano,2,1.0,Bobo hpta dudo mucho que Rosita so lo vaya a dar malparido,
Vaaaaaaaaall_,0,0.0,Tranqui bichota todas hemos chupado una monda de un bobo JAJJAJAJA,
Matt_Slzr,2,1.0,Ese mk tiene la cara de bobo más hpta,
mcg_______,0,0.0,"Odio esos videos, un bobo ahí X haciéndola pasar un momento súper incómodo",
"ArmandoMonty5
",2,1.0,"Bobo hpta, si vos",
kaarlieeGz,0,0.0,"ya deja a la Kendall no te merece, y te hace parecer bobo",
crn9492,2,1.0,De que hablas bobo si a tu madre la tengo al día ?,
"MaInesVallejo
",0,0.0,ESTAMOS HARTOS NOS CREAN PUEBLO BOBO.. CLARO QUE HAY UNA MITAD SE HACEN LOS BOBOS POR 💰💶💶💶💵💵,
"DaLopezGi
",2,1.0,Y vos sos un bobo hijo de puta.,
MariaDelMar_122,0,0.0,Todos los días sale un bobo a la calle🎶,
"CristianBoca423
",2,1.0,"Que va tonto, saliste poeta como el tontorrón inicial o que? ",
JuanJha_,0,0.0,"Pues a mi el techno no me mata, pero el que diga que afterlife es un mal parche es un bobo",
"WadaMilan
",2,1.0,Váyase a la gran puta mierda bobo hp,
an_chamorro16,0,0.0,"Yo no sirvo pa rogarle a nadie, no querés caminar conmigo? abrite bobo",
"LiVittola
",2,1.0,"No le hagan caso, es un bobo hp con 68 seguidores que paga verificación en twitter. 🤣",
Adriana_Gomeez,0,0.0,Feminicidio!! Bobo oportunista,
Andresprado67,2,1.0,"😂😂😂 Dizque doctorado en mi corazón 😂😂 Bobo hp 😂😂 en tu culo es que tiene un doctorado, guayaba hp 👬🤪💩",
Male0389,0,0.0,"Jajajajaj hay que ser muyyyy descarado para decir esto, bobo",
JuanfGonzalez03,2,1.0,"Viene a hablar, un bobo lleno de colada, que ni jugara fútbol",
MeDicenJuan_,0,0.0,"Ponga a CUALQUIER perro en un ambiente que le genere estrés a ver cómo reacciona, no importa la raza, cuando quieren morder solo lo harán, asi que deje de hablar tanta bobada.",
"JulianArango66
",2,1.0,Bobo marica,
0Gatrotsky,0,0.0,Petrogustavo no tiene la culpa de que las EMPRESAS PRIVADAS quiebren por su mala administración. ¡Bobo!,
stellydelosrios,2,1.0,Tiene una cara de bobo q no puede con ella,
"Heberth_1217
",0,0.0,"Bobo, para muchos la mamá está por sobre todas las cosas.",
afms1912,2,1.0,Jajajajaajaj vaya a que le den por el culo bobo cagao,
RuedaLuis0,0,0.0,Lo que ud propone es darle un arma a más hombres celosos para que anden por ahí matando. Seguro la vieja hubiera querido estar trabajando en la pizzería con un fierro en el cinto. Bobo. Por criticar al gobierno dicen cualquier estupidez.,
edwardjames007,2,1.0,Deja de meter perico bobo hpta,
"RuedaLuis0
",0,0.0,"El que no entiende un culo es ud, bruto, lea bien que ahí ni siquiera habla de situación militar definida sino de NO PORTAR. En cualquier caso, eso no tiene nada que ver con el crimen. Bobo",
"eduar_clavijo
",2,1.0,Este le está ganando el puesto a bobo polo,
lajulitamayo,0,0.0,"Se habían demorado los Rambo de teclado en salir a decir ""yo hubiese hecho esto, yo habría hecho aquello"" y va uno a ver y son los pendejos que se asustan con un tote. Mero bobo ",
diegod8921,2,1.0,"Imbecil, parásito, bobo hp",
"willanddu
",0,0.0,"Ese bobo h.p que hizo chiste de la muerte de la DJ, la que empacaron en una maleta. Pena deberían darles en sacar una noticia de ese señor.",
"AlexanderEsp77
",2,1.0,Vos sos un bobo hijueputa de buena que si,
"oniriaaz
",0,0.0,Tratar de bobo a un adulto mayor con bastón…,
sebasvillalba22,2,1.0,Vaya duerma bobo,
MontseAltuve,0,0.0,ser adulto es aprender a hacerte cargo de las consecuencias de tus actos y pues nadie te va a salvar más que tú mismo 🤷🏽‍♀️,
Aladerechaxmpre,2,1.0,"Hagamos una vaca para ayudarle a pagar, y le dejamos para unas 80 insultadas más a ese parásito",
arrullodegrullo,0,0.0,"Esa sensación de que nadie te va a salvar, ni siquiera tu fuerza física, de los embates de tu espíritu",
elvis0399752775,1,1.0,Basura le queda poco inservible ya te va a llegar tu hora,
LemonFacu,0,0.0,Nadie te va a salvar Tu eres el responsable de tu propia vida.,
"peter_ramirezl
",1,1.0,A ti también ya te va a llegar tú hora así que prepárate si sigues jodiendo te irá peor,
eme_i_ce,0,0.0,Cállese más bien que yo me ilusiono cada semana,
marcaocondo31,1,1.0,"por que HUYES, COBARDE. Estas perdido y nadie te va a salvar.",
"luisgaviria226
",0,0.0,Cállese Jennifer que la alcaldesa no dijo nada de eso. Deje de politizar esta tragedia. Resultaste igualita a los políticos de siempre. Sos una decepción.,
cristyan_lop,2,1.0,Ya cállese bobo…deje de hablar estúpideces y vuélvase serio.,
JuanMD_24,0,0.0,El hpta del Uber se pone a hablar mierda y a manejar lento en uno de los barrios más peligrosos de Cali a las 2 a.m. Me daban ganas de decirle: SEÑOR CÁLLESE Y MANEJE RÁPIDO,
Leagle71,2,1.0,Mejor cállese usted que tiene más de un n pronombre en la bio. Su opinión no cuenta 🤣,
Jenniferortizzz,0,0.0,"Ajjajjaa cállese vieja sin vergüenza, estás ardida por qué se les está acabando la plática a sus jefes mañosos, recuerde que para dar un golpe de estado tienen que enfrentarse con muchos ciudadanos que escogimos este gobierno, asi que miedo no nos da ustedes payasos.",
LuiisFk,2,1.0,Cállese vieja puta.,
13chela_,0,0.0,"JAJAJAJ vea, cállese si ?",
JavoVelasco07,2,1.0,Ya cállese señora,
"Docko321
",0,0.0,"Papi, callese que acuérdese que los que mandan y aprueban hacer esos proyectos son las productoras, los guionistas solo hacen lo que el director les manda a hacer.",
negrosonik1,2,1.0,"Cállese, lambón",
ComoLoImagino,0,0.0,"Aíslese, si piensa en violentar a alguien. Cállese, si piensa crear una conversación tensa para justificar la explosión que quiere detonar. Váyase, si va a usar a los demás como su pelotita ""anti estrés"", y borre la indirecta innecesaria que va a escribir",
"moreanney
",2,1.0,Cállese perra,
"SindyQuinteroM
",0,0.0,"La bellaca esta qué dice que ama la democracia cuando ganan, pero cuando la pierden no le gusta a mi el caso de ese coronel qué anda pregonando golpe de estado eso fue avalado por usted. Cállese mija trabaje vaga le pagan por trabaje se la pasa trinando pendejadas.",
"FabioTheRuski
",2,1.0,"Cállese viejo marica, usted es un bobo triple hijueputa",
DiePater,0,0.0,Señor usted no estuvo dentro de la uci así que mejor cállese,
DaniZuluaga096,2,1.0,Ese tipo cada que dice algo la caga más! Ya cállese señor!!! 🙄,
DavidGutiRomero,0,0.0,Jajajaja cállese. Esos curtidos no pudieron ni ganar una guerra 🤣😂,
"EdoVelez
",2,1.0,Cállese burro,
laurastradaaaa,0,0.0,"Yo no te voy a buscar , si te veo es por que se da",
"tomboleno
",2,1.0,Ya cállese señora!!!!! Ni callada se ve bien,
"younotaresave
",0,0.0,baby apaga el celular te voy a buscar a las 12,
Flaca_666,2,1.0,Cállese ud me cae mal,
"PilarSoyYo30
",0,0.0,Te voy a buscar en mis sueños esta noche. 😻,
Carlosradical90,1,1.0,Te voy a buscar,
Julietta₄,0,0.0,No busco ni el par de mis medias y te voy a buscar a vos jajajaj🤌🏻🤌🏻,
666luciia,1,1.0,"no sé quien habra citado esto en candado pero q sepas q te voy a buscar, te voy a encontrar y te voy a matar",
sahory2113,0,0.0,Hoy te voy a buscar.,
"hdechipre
",1,1.0,"te voy a buscar y te voy a encontrar, cerdo",
BlurMithrandir,0,0.0,Te voy a buscar siempre en el cielo porque pienso que en algún lugar también lo estarás viendo.,
Al3jandra_13,1,1.0,te voy a buscar a la escuela,
"piliiribarne
",0,0.0,te extraño pero no te voy a buscar nunca más,
"Goodnightcarll
",1,1.0,Te voy a buscar y cuando te encuentre te voy a meter un traque,
"Sebasto19811
",0,0.0,"Cali es la sucursal del despilfarro y la corrupción,por eso hoy es la ciudad más abandonada y fea de Colombia en todos los sentidos,se perdió todo.",
"Saenz1984
",2,1.0,"También se pego de esa perra fea , la otra bn dormida como no sintió ",
YHLQMDLG_15,0,0.0,"Un treinton me anda ligando diciéndome ""fea"" 🤡🤣 señor así se ligaba antes, ya no",
heyalfredd,2,1.0,"Pensé que lo había visto todo, pero los ❤️ en las fotos de esa fea ya es mucho.",
eisonMondragon,0,0.0,La estética de los celulares cada vez está más fea que nunca,
"loubrinax
",1,1.0,"flaca, te voy a buscar y te voy a arrancar las colitas con UNA SIERRA ELÉCTRICA",
Edilson59771863,0,0.0,Que sirenita tan fea. La embarraron,
"Elmene19
",2,1.0,Pero tú eres una mujer promedio tirando a fea. Obviamente no atraes nada.,
Braestt,0,0.0,"Que Hp cuenta tan caraaaaaaa y que comida tan fea, me sentí estafado en ese restaurante. 🙃🙃🙃",
Miguelabc95,2,1.0,"si te dicen una mentira ( que hermosa) Malo, si te dicen la verdad (Fea) es malo,  en fin son muy difíciles porque tienen que ser así ",
Garcianc_13,2,1.0,pero es fea la tipa que pecao,
aguilartista,2,1.0,"Yo no soy idiota como tú, vieja fea y pendeja.",
SandritaVelez01,0,0.0,"Ese ya es otro cuento, la fea es la costeña 🤣",
"vvitchxx
",0,0.0,parce que ceviche tan feo el que me acabé de comer 😪 o sea pagar por comida fea????,
VaneLalito,0,0.0,"Uno se pone a ver los manes que critican a Shakira y la tratan de fea, vieja y no sé qué más y está más atractivo un gargajo de vicioso que ellos.",
Sinner_man420,0,0.0,"Confirmo, ahora que me estoy viendo Betty la fea me doy cuenta que Marcela también fue victima de Armando",
CulmaAugusto,2,1.0,"Trans de Gorda fea y ridícula, tran de bruta incoherente",
darlizacastro,2,1.0,Esa perra fea,
"diegotabcali
",2,1.0,Travesti invertido deja de llorar que te vas a deshidratar 🤡,
Laqnopertenece,0,0.0,Que? Entonces porque un travesti se viste de mujer 😵‍💫 porque se percibe como hombre? No tiene mucho sentido. Es diferente percibirse de un género y que le guste el mismo o el contrario o diferentes generos. Pero la identidad si hace parte de como nos vestimos.,
"HaroldMontoya1
",2,1.0,Travesti inmundo!,
1968Alzamendi,2,1.0,"Travestí sumerce, que pretende ser machito, pero se hace llamar aleja. Fresca aleja, salga de ese closet donde aparenta tanto uribismo.",
jjuancardonaa,0,0.0,Ayer comí tantas alitas BBQ que hoy amanecí travesti.,
"apf1990
",2,1.0,"Anda a venderle fotos a toda esa manada de cacorros, travesti de vereda",
V13NROSA,0,0.0,Ese momento de Raven me volvió travesti,
"RudyBruna
",0,0.0,El del bus no entendió la hora travesti jijijiji,
HagaloConFe,3,1.0,CHAOOOO SAPA HPTAAAAA... MORITE CON TU MADRE HPTAAAAAA,
BedoyaLaura09,0,0.0,"Uy morite, cómo te vas a meter con mi Karol G",
"RudyBruna
",0,0.0,"Dios mediante esta semana me acaban el nombre 🙄 Rudy, esto, Rudy lo otro, Rudy morite",
daleokentiendo,3,1.0,EDUARDO LUIS ESCORIA HIJUEPUTA MORITE,
cesguzman71,3,1.0,Morite de hambre,
"ManuAyalaM
",0,0.0,Vamos la puta que los parió !!!  morite tesis,
LinaMCadena,3,1.0,morite maricona,
"PaulCabrera86
",0,0.0,Jajajajaja morite VAR!,
"juanfer83
",3,1.0,Abrase hpta bobo no sps nadie morite hpta no mereces nada de nadie quien sos vos un pobre mk que nadie quiere,
JoeyCajiao,3,1.0,Morite gonorrea malparido cagón hijo de puta.,
"DiazSebastian_
",0,0.0,"Mi mejor época, morite FIFA19",
MariaVi610333983,3,1.0,"Morite indio mugroso.! Vos no sos dueño de un hotel, dejá que otros progresen, malparido!",
"DiazSebastian_
",0,0.0,El Niño que domo el viento ni que hijueputas. Morite ensayo de 5 páginas a mano.,
Llamoza30,0,0.0,DE RESTO NO PASÓ NI MIERDA MORITE MOSQUERA QUE PUTAS HACES DE TITULAR,
LuchoCardenasCa,3,1.0,"MORITE MALPARIDO DE MIERDA! MALDITO IMPEDIDO DE LA TRES MIL PUTAS MIERDA, MALDIDO ENGENDRO, ME CAGO EN TUS FAMILIARES Y EN TODA TU DESCENDENCIA HIJO DE TU GRAN PERRA MADRE! ",
060998t,0,0.0,"Me enoja que me respondan siglos después estando en línea, o sea morite",
sebasrg31,3,1.0,MORITE MATATE HACE CUALQUIER COSA ... LITERAL TE MORIS Y SOMOS FELICES!!,
DiazSebastian_,3,1.0,Deje de hablar pendejadas muerase inutil,
mariecamille404,0,0.0,"Moríte Gluten, sos el cáncer de las proteínas.",
portalvaginal,0,0.0,"La gente anda muy obsesionada con “cuidar la energía” parce muérase entonces porque constantemente convivimos con energías densas, todo nos drena y bla bla bla bla. Pégame un cocacho cuando empiece a trinar así tan fanaticamente por favor. O ya lo hago? Jajajajajajajaja",
GUACHIMICO,3,1.0,"Pues muerase , y así  salvamos el planeta de un adefecio menos",
BedoyaLaura09,3,1.0,Muerase,
NIASEX94,0,0.0,en pocas palabras sí puede viva y sino tiene dinero muerase lentamente en Colombia.,
ximenagv16,3,1.0,MUÉRASE YA PORFA,
LuisPirry21Plus,3,1.0,"muerase,le haría un bien al mundo.",
p_herney,3,1.0,"Gordo Marik,usted no tiene derecho a opinar,nadie te quiere",
"nacho7403
",0,0.0,"Nadie te quiere Miranda , exepto el centro democratico.",
JORGECARMONA01,0,0.0,"El camaleonisimo gonoroy Barreras, nadie te quiere hombre,...bueno,...nadie decente…",
jjuancardonaa,0,0.0,Yo se que nadie te quiere pero yo te amo huevo cocido de yema blandita,
joaquinpolancoq,3,1.0,Nadie te quiere mamarracho y nadie te va ha escuchar.,
_Miguelperea,0,0.0,Nadie te quiere tanto como el que te acepta en todas tus versiones.📌,
alejandro21jsiu,3,1.0,nadie te quiere bruja,
Angela33456499,0,0.0,Én todo caso éso no sería problema tuyo como a tí nadie té quiere piensas qué a las demás tampoco buscá ayuda porque én serio qué la nesecitas,
zorracolombiana,3,1.0,"Deja de quejarte de la maldita vida, si sos tan sufrida, pues suicidate y deja de joder!",
princesaequivok,3,1.0,¿Cuál es tu gracia? Suicidate.,
Gbarbetti_,3,1.0,"Tú estás peor, tu vida no vale nada, suicidate.",
KristVarg,0,0.0,"Odio el maldito transporte público de mi ciudad, maldita la hora en que volví a esta mierda, cómo es posible que salga de casa a las 4:40 de la mañana y a esta hora este a medio viaje. Maldita sea.",
juanchoh1985,3,1.0,suicidate perro hijo de puta!!!!  Igual nada se pierde.,
jamithferrer,3,1.0,Si Las Feas NO Existieran el mundo seria mejor! Julieth Jaraba hagale un favor al mundo SUICIDATE YA!,
Full3a6,3,1.0,"Muerete, muerete, muerete, suicidate pedazo de maricon care monda",
N1ght_7houghts,0,0.0,"Alguien me explica por qué ahora todo mi feed son personas diciendo que los Pitbull son una raza agresiva?  🙃 
Agresiva yo que les quiero meter un traque para que se les acomode el cerebro",
sqi_p5,0,0.0,Mañana que nadie me toque porque le voy metiendo un solo traque,
juanstivenroa,1,1.0,Que ganas de ir a Medellín y cascar a @bluxtay 😤,
dialex07,1,1.0,"callese, No se haga cascar viejo",
cleytoncarm,1,1.0,te voy a cascar perro hpta,
DoctorCucayo,0,0.0,"En mi narcoestado: cada oficial del ESMAD tendría adicionalmente en su dotación, un bolso de perico de 10, audífonos Bluetooth, música para cascar, incentivos por tranquilizar a la ciudadanía como de lugar. Porque la democracia escogió esa autoridad y pues toca.",
"Vivslicious
",0,0.0,"Excelente, te felicito!!! Yo me fracturé el 5to metacarpiano de la mano derecha por cascar un Man que me cogió el culo en un bar, fue satisfactorio y la fractura la amé, fue mi como mi trofeo de batalla hp y el man se fue todo vuelto chica 👏👏👏💪💪💪",
jdv9101,0,0.0,No es broma! Cómo carajos se deja pegar dos veces del mismo man! A la primera el man tenía que estar encanado! O con restriccion! Pero bueno... allá ella cuantas veces más se va a dejar cascar!,
arispesarah1,1,1.0,"También te va llegar tu hora rataaaa , te juramos que va llegar tu hora",
Irinamar004,1,1.0,A vos te va llegar tu hora primero perro victimista.,
Martinsimab,0,0.0,"Esos que se quieren matar, metanse a un cartel, es lo mismo pero no sabes cuándo va llegar tu hora, pero el propósito va ser el mismo",
Ali_nctot23,1,1.0,Hija de re mil puta te juro por mi vida que vas a pagar si el karma no hace su trabajo te juro que te voy a matar yo misma,
32feliimottaa,1,1.0,Malparido de mierda te voy a matar,
soycaromejia,0,0.0,"Si los feminicidas tuvieran un sello en la frente que dijera: “te voy a matar”, las mujeres no agendaríamos una segunda cita.",
cesarcomida,0,0.0,"Mitad de clase un compañero se levanta (aparentemente sin motivo alguno) se dirige hacia los últimos puestos y agarra por la espalda el cuello de otro compañero, le hace una llave y grita ""te voy a matar, te voy a matar"" hicieron falta CINCO alumnos para poder separarlos",
"Toxic5451
",1,1.0,Perra de mierda te voy a matar,
"iissalh
",1,1.0,daniela te voy a matar,
MarcusConagher,0,0.0,"Pasó de ""volveré pronto, mi amor"" a ""perra de mierda, te voy a matar""",
AlbarracnLuz1,1,1.0,gorda puta zorra te voy a matar cornuda de mierda,
yungtajada,1,1.0,"hoy se salvó el negro ese, un día no diré más nada y te voy a matar gonorrea",
ArianaMicaela_,0,0.0,tengo un compañero de la U que prácticamente me acosa y es rarísimo porque mientras el se hace el pendejo YO tengo que comportarme como un ser humano decente porque no tengo nada para decirle flaco como te VOY A MATAR,
benitezliz00,1,1.0,En cualquier momento te voy a matar guerrillera hpta,
Gart_C13,1,1.0,Te voy a matar te voy perforar los pulmones con tus costillas,
NatalyPeinado1,0,0.0,TE VOY A MATAR COMO SE TE OCURRE ROBARME UN BESO,
Drako_055,0,0.0,"Yo te voy a matar, dale amor al perrito.",
_miluu32,1,1.0,vas a volver y te voy a matar hijo de puta,
sebasiraheta,1,1.0,SUSANA MATATE ESTÁBAMOS EN PAZ VOY A PUBLICAR TUS FOTOS,
Roo_Martinz,1,1.0,"Voy a publicar tus fotos perra, que ya sabemos a quien le diste ",
G1965Laura,1,1.0,ENCIMA PROFESORA VOY A PUBLICAR TUS FOTOS EN TODAS LAS REDES NO SE PUEDE TENER UNA PROFESORA ASI UNA VERGUENZA.,
angeIreyna,0,0.0,srry paola voy a publicar tus fotos de florecitas,
Sgalle_94,1,1.0,Hdp voy a publicar tus fotos en ig también,
juliantorressal,1,1.0,Voy a publicar tus fotos en pelota que me mandaste por falsa hp 😂😂,
GeralCacace_99,0,0.0,Voy a publicar tus fotos con la camiseta de la empresa jajaja,
skyyvodkax,0,0.0,JAJAJAJAJJJjajajajaj peleate nomas commigo y voy a publicar tus fotos como Elias Dahmer a las redes 😏,
TomasVeron12,0,0.0,Jajaja ya voy a publicar tus fotos con la camiseta del Santa Fe,
hepbun,0,0.0,"voy a publicar tus fotos de bebé, cuando sí te bañabas.",
SinaSw,1,1.0,Eres una tonta jajajajaja. Voy a publicar tus fotos🙊😂,
luisagoenaga1,0,0.0,"La verdad es que me da rabia y vergüenza que en pleno 2022 todavía existan hombres dizque chantajeando a las mujeres con dizque ""voy a publicar tus nudes"", ¿Qué les dieron de tetero cuando bebés?, ¿Cloro o aserrín?",
dimegollo13,1,1.0,"Mira puta, si llegas a regresar a con ese bicho voy a publicar tus nudes y las conversaciones cochinas que tengo en mi poder.",
Lizeth96D,0,0.0,"El día que alguien me diga “voy a publicar tus nudes” yo crearía un OF y las subo primero, porque mis nudes son todo menos feas.",
TommyLeonS,0,0.0,"Te voy a encontrar, zancudo de mierda. Y te voy a golpear tan fuerte, que desearás que no te haya golpeado tan fuerte.",
belarit4,1,1.0,malparida estupida te voy a cascar hpta,
Sail0rWeed,1,1.0,Un día de estos te voy a cascar para que te acordes de mi ois,
El_Sansui_890,0,0.0,"""Y te voy a arrancar las orejas y te voy a patear y te voy a cascar y y y y"" Parece un hpta culicagado de colegio. Un rambo del teclado no más.",
LoraineSamper_,0,0.0,Como así que volvío con el amor? Jaja te voy a cascar,
AleStormblessed,0,0.0,Te voy a cascar para que dejes de preocuparte tanto por esa pendejada,
PaulaZarate02,0,0.0,Te voy a cascar Valentina Contreras 😒😒 a veces me dan ganas de meterte tu puño porque te pasas de fresca de veras y juliana ni se digaaaaa de lo fresca!!,
LUEPAR7,0,0.0,"Todas sus Actividades Espirituales son muy buenas, pero cuando finalmente se realice a Usted Mismo, llegará a la conclusión de que Todo es inútil, redundante y superfluo. La Experiencia, El Experimentar, y El Experimentador, Todo es solo Uno y lo Mismo. ""Yo Soy"" es Todo.",
Jorgedav_99,0,0.0,Es inútil intentar detener la rueda de mi destino,
meliTrainer,0,0.0,"El sufrimiento es inútil para solucionar una situación, pero absolutamente necesario para aprender hacerlo diferente 💡",
tortadezapayo,2,1.0,Boba hijueputa inútil,
LevyRincon,2,1.0,"Pacho Santos se creía el líder de la oposición tuiteando todos los días hasta que salió Mancuso a decir que él financiaba y creaba grupos paramilitares ¡Malparido de mierda! Parece que el parásito, vividor, inútil y mantenido se quedó sin internet y sin celular ¡Rata hijueputa!",
"Chichokano
",2,1.0,Si a uno lo representa esa negra resentida y tan pobre intelectualmente es porque uno de verdad vale 3000 hectáreas de verga y es igual de inútil y lleno de carencias,
Lilxandrago,0,0.0,"No le deseo esto a nadie.Sentirse inútil, ganas de llorar constantes, qué el cuerpo pese como una roca, sobrepensar todo, insomnio, falta de apetito, dolores de cabeza y podría continuar...Sólo espero q quien esté así como yo, sea más fuerte q yo...",
